Subject	Song Catergory	Song index(eg. t01)	Valence	Arousal	Likeability	Familiarity	Remark		LVLA= Low Valence Low Arousal
1	LVLA	27	6	1	0	0	0 = data missing		LVHA = Low Valence High Arousal
1	HVHA	30	8	8	5	3			HVLA= High Valence Low Arousal
1	HVHA	5	7	6	3	3			HVHA= High Valence High Arousal
1	LVLA	4	3	3	4	2			N = Neutral
1	HVLA	15	5	3	3	1			
1	N	23	4	2	4	2			
1	HVLA	25	6	2	4	2			
1	LVHA	3	7	7	5	1			
1	N	26	6	6	5	1			
1	LVHA	7	3	7	5	1			
1	LVHA	18	6	7	4	1			
1	LVLA	13	6	2	5	2			
1	N	6	5	2	4	2			
1	HVLA	20	4	1	3	2			
1	HVHA	1	7	6	4	2			
1	LVHA	17	6	8	2	2			
1	LVLA	2	2	3	1	1			
1	HVHA	9	6	7	3	2			
1	N	24	5	2	4	2			
1	HVLA	8	7	2	5	3			
2	HVHA	30	9	7	5	2			
2	HVLA	15	6	6	3	3			
2	LVLA	27	5	4	4	2			
2	LVLA	2	4	6	2	2			
2	N	24	5	2	3	3			
2	LVHA	17	9	9	3	3			
2	HVLA	20	5	2	4	3			
2	HVHA	1	9	9	5	5			
2	N	26	8	6	4	3			
2	LVHA	18	9	9	3	3			
2	N	6	7	6	4	2			
2	HVLA	25	5	3	3	2			
2	HVHA	5	9	9	4	3			
2	LVHA	3	2	8	2	2			
2	N	23	6	2	5	4			
2	LVHA	7	3	7	3	3			
2	HVHA	9	9	9	5	3			
2	LVLA	4	5	2	3	3			
2	LVLA	13	6	6	4	3			
2	HVLA	8	7	1	4	3			
3	HVHA	30	9	9	5	4			
3	LVHA	7	5	6	4	4			
3	LVHA	17	5	8	4	3			
3	HVLA	15	9	2	5	3			
3	N	26	9	3	5	4			
3	HVLA	25	6	3	3	2			
3	N	23	4	3	2	2			
3	LVLA	2	2	5	1	2			
3	HVHA	9	9	8	4	3			
3	LVLA	13	6	4	3	4			
3	HVHA	1	9	7	4	5			
3	HVHA	5	9	8	4	2			
3	LVHA	18	5	6	2	2			
3	LVHA	3	3	7	2	2			
3	LVLA	4	4	2	3	3			
3	LVLA	27	5	2	3	2			
3	N	24	6	2	5	3			
3	HVLA	8	9	1	5	4			
3	N	6	8	3	5	3			
3	HVLA	20	8	1	4	4			
4	LVHA	7	4	6	4	1			
4	HVHA	9	7	8	3	2			
4	LVLA	27	3	3	3	2			
4	LVHA	17	6	7	2	2			
4	N	24	6	4	4	3			
4	HVLA	25	9	3	4	4			
4	N	6	8	2	4	4			
4	LVLA	13	6	1	5	4			
4	HVLA	15	7	3	3	2			
4	HVHA	30	6	8	2	2			
4	LVHA	18	5	7	3	3			
4	LVHA	3	4	5	3	2			
4	LVLA	4	4	4	4	2			
4	HVHA	5	8	7	2	2			
4	HVLA	8	6	2	4	4			
4	N	26	6	6	3	3			
4	HVLA	20	8	2	4	5			
4	LVLA	2	2	4	1	1			
4	HVHA	1	7	7	4	5			
4	N	23	6	3	4	2			
5	HVLA	25	9	3	4	1			
5	N	6	7	5	3	1			
5	LVLA	4	5	6	5	1			
5	LVLA	2	2	6	1	1			
5	HVHA	30	9	8	5	1			
5	N	26	7	7	4	1			
5	HVLA	20	9	2	5	1			
5	LVHA	7	5	8	3	1			
5	LVHA	18	5	9	3	1			
5	HVHA	1	9	9	4	4			
5	LVHA	3	4	7	3	1			
5	HVLA	15	7	5	4	1			
5	LVHA	17	6	9	3	1			
5	HVLA	8	9	2	5	1			
5	HVHA	9	9	8	4	1			
5	LVLA	13	6	3	4	1			
5	N	23	6	1	4	1			
5	N	24	3	4	1	1			
5	HVHA	5	9	9	5	1			
5	LVLA	27	2	2	1	1			
6	LVLA	4	3	1	5	1			
6	HVLA	8	9	1	5	1			
6	HVHA	9	9	6	2	1			
6	LVHA	7	1	3	3	1			
6	HVLA	20	6	1	4	1			
6	N	24	4	4	3	1			
6	HVHA	5	8	5	4	1			
6	LVLA	27	3	2	1	1			
6	N	6	8	5	4	1			
6	LVHA	3	7	6	4	2			
6	N	23	4	1	3	1			
6	HVHA	1	8	8	4	5			
6	HVLA	25	6	1	3	2			
6	HVHA	30	8	6	2	1			
6	LVHA	18	8	3	2	1			
6	N	26	7	2	2	1			
6	HVLA	15	4	1	4	1			
6	LVLA	13	1	1	4	1			
6	LVLA	2	4	1	2	1			
6	LVHA	17	9	9	3	1			
7	LVHA	18	3	3	2	1			
7	HVLA	15	7	5	4	2			
7	LVLA	4	4	2	2	1			
7	N	26	6	5	4	1			
7	HVHA	5	5	5	3	1			
7	N	6	6	1	3	1			
7	LVHA	17	2	2	1	1			
7	HVLA	8	6	5	4	1			
7	HVHA	1	8	8	5	4			
7	LVLA	27	1	1	1	1			
7	HVLA	25	7	5	4	1			
7	HVHA	30	7	6	4	1			
7	HVLA	20	6	1	3	1			
7	LVHA	3	1	5	1	1			
7	LVLA	2	1	2	1	1			
7	N	23	5	2	3	1			
7	N	24	2	2	1	1			
7	LVHA	7	5	5	3	1			
7	HVHA	9	7	6	4	1			
7	LVLA	13	4	1	4	1			
8	HVLA	20	7	3	4	3			
8	LVHA	17	9	8	3	4			
8	LVLA	13	4	3	3	2			
8	LVLA	2	1	6	1	1			
8	N	24	4	4	2	2			
8	HVHA	30	7	6	3	3			
8	HVHA	1	5	6	2	5			
8	LVHA	18	3	8	3	3			
8	HVLA	15	8	1	4	4			
8	N	23	5	4	3	3			
8	HVHA	9	7	6	4	3			
8	LVHA	7	7	7	3	4			
8	HVHA	5	8	8	4	4			
8	HVLA	25	5	2	3	3			
8	LVLA	27	2	7	1	3			
8	LVLA	4	3	3	3	3			
8	N	6	6	5	3	4			
8	N	26	6	6	4	4			
8	HVLA	8	5	2	3	5			
8	LVHA	3	3	8	2	3			
9	HVHA	5	9	9	5	1			
9	HVHA	30	8	9	5	1			
9	N	6	6	3	4	1			
9	LVHA	7	2	5	4	1			
9	LVHA	3	1	7	4	1			
9	N	24	8	1	4	1			
9	LVLA	13	2	2	3	1			
9	HVLA	15	8	5	5	1			
9	HVLA	25	7	2	4	1			
9	LVLA	4	5	3	4	1			
9	N	26	8	6	5	1			
9	HVHA	9	8	9	5	3			
9	LVHA	18	8	8	4	2			
9	HVLA	8	5	3	4	2			
9	LVHA	17	8	8	4	3			
9	N	23	2	2	3	1			
9	HVLA	20	7	2	3	1			
9	LVLA	27	5	2	2	1			
9	LVLA	2	2	2	2	1			
9	HVHA	1	8	7	5	4			
10	HVHA	30	7	7	4	1			
10	HVLA	15	5	3	4	3			
10	HVHA	1	7	7	4	4			
10	N	23	5	2	4	1			
10	LVLA	2	5	6	2	1			
10	LVLA	13	5	3	4	1			
10	HVLA	8	7	2	4	1			
10	LVHA	18	7	8	4	1			
10	N	24	5	2	3	1			
10	LVHA	3	7	8	4	1			
10	LVHA	17	7	7	4	2			
10	LVHA	7	4	4	3	1			
10	N	6	5	5	4	1			
10	N	26	5	5	3	1			
10	HVHA	9	7	6	3	1			
10	HVLA	25	5	3	3	1			
10	HVLA	20	5	2	3	2			
10	LVLA	4	4	3	3	1			
10	LVLA	27	4	4	2	1			
10	HVHA	5	8	8	4	1			
11	LVLA	2	2	5	1	1			
11	HVLA	25	8	2	4	1			
11	LVLA	27	3	3	2	1			
11	HVHA	1	8	8	5	5			
11	HVLA	15	9	8	5	2			
11	LVHA	7	4	6	3	1			
11	LVHA	17	6	9	4	1			
11	N	24	7	2	4	1			
11	N	26	8	8	4	1			
11	HVHA	30	9	9	4	1			
11	HVHA	5	8	8	4	1			
11	N	23	5	2	3	1			
11	HVLA	8	9	2	5	1			
11	LVLA	4	3	5	2	1			
11	LVHA	18	4	8	3	1			
11	HVHA	9	8	8	4	1			
11	LVHA	3	1	6	1	1			
11	LVLA	13	4	3	3	1			
