Subject	Song Catergory	Song index(eg. t01)	Valence	Arousal	Likeability	Familiarity	Remark		LVLA= Low Valence Low Arousal
11	N	6	9	2	4	1			
11	HVLA	20	9	1	5	1			
12	HVLA	20	9	1	4	1			
12	LVLA	2	3	5	3	1			
12	N	23	5	3	4	1			
12	N	24	5	3	3	1			
12	LVHA	18	5	8	4	1			
12	HVHA	1	9	7	5	5			
12	HVHA	5	9	8	5	1			
12	LVHA	3	4	8	3	1			
12	HVLA	8	8	1	5	1			
12	LVLA	13	4	2	3	1			
12	HVHA	9	9	6	5	1			
12	LVLA	4	5	5	4	1			
12	LVLA	27	5	3	4	1			
12	N	6	8	1	5	2			
12	HVHA	30	9	8	4	2			
12	N	26	9	5	5	1			
12	HVLA	25	9	1	5	1			
12	LVHA	17	7	9	3	2			
12	HVLA	15	9	1	5	1			
12	LVHA	7	3	9	3	1			
13	HVLA	20	8	1	5	2			
13	N	6	7	1	5	4			
13	HVHA	9	5	7	5	2			
13	LVHA	7	2	5	3	2			
13	LVLA	13	2	2	3	1			
13	HVLA	25	9	1	5	3			
13	LVHA	3	3	5	3	2			
13	LVLA	27	4	2	3	1			
13	N	23	9	1	5	4			
13	HVHA	30	9	7	4	4			
13	HVHA	1	7	7	4	4			
13	N	24	5	1	4	2			
13	LVLA	4	2	2	3	2			
13	N	26	7	5	5	1			
13	LVHA	17	5	8	4	3			
13	HVLA	8	5	5	4	2			
13	LVLA	2	3	4	2	2			
13	HVHA	5	7	7	4	3			
13	LVHA	18	5	7	4	2			
13	HVLA	15	8	1	5	4			
14	HVLA	8	8	2	5	1			
14	LVLA	13	5	4	3	1			
14	LVLA	27	9	8	4	1			
14	HVHA	9	5	5	4	1			
14	N	6	7	3	4	2			
14	N	24	7	8	5	1			
14	LVHA	7	4	2	3	1			
14	HVLA	15	8	8	4	1			
14	HVHA	5	2	8	2	1			
14	LVHA	3	5	4	3	2			
14	LVLA	4	7	2	5	4			
14	HVLA	20	6	1	4	1			
14	N	26	8	5	4	1			
14	HVLA	25	8	2	3	1			
14	LVHA	17	3	7	3	1			
14	LVHA	18	3	5	2	1			
14	LVLA	2	1	5	1	1			
14	HVHA	30	7	6	5	1			
14	HVHA	1	9	8	5	4			
14	N	23	5	2	4	1			
15	LVLA	2	5	3	1	1			
15	HVHA	30	9	8	4	3			
15	LVLA	4	5	4	4	3			
15	N	24	6	2	4	3			
15	HVLA	25	7	4	5	3			
15	LVHA	7	6	6	3	2			
15	LVHA	17	5	8	3	3			
15	HVHA	9	7	9	3	2			
15	N	6	6	3	4	3			
15	HVLA	20	6	2	4	3			
15	LVHA	18	6	6	4	2			
15	HVLA	15	8	3	5	3			
15	LVLA	13	4	5	4	5			
15	LVHA	3	2	5	2	2			
15	HVHA	1	7	7	4	5			
15	N	26	6	4	5	3			
15	LVLA	27	4	1	2	1			
15	HVLA	8	6	3	4	2			
15	HVHA	5	8	9	4	3			
15	N	23	5	2	3	1			
16	N	23	5	6	3	3			
16	HVLA	8	8	2	5	3			
16	HVHA	9	7	8	4	3			
16	LVHA	7	5	6	4	4			
16	LVHA	3	6	6	4	3			
16	N	24	5	4	4	3			
16	LVLA	27	6	2	5	3			
16	HVHA	1	9	9	4	4			
16	LVLA	13	6	2	4	3			
16	HVLA	20	6	2	4	3			
16	LVHA	18	5	7	3	3			
16	HVLA	15	6	4	4	4			
16	N	6	6	6	3	4			
16	HVHA	30	6	6	3	3			
16	LVLA	4	6	2	5	4			
16	HVLA	25	6	4	4	4			
16	LVHA	17	4	5	1	2			
16	LVLA	2	4	6	1	2			
16	HVHA	5	6	7	2	4			
16	N	26	6	5	4	4			
17	LVLA	2	7	7	2	1			
17	HVHA	30	9	8	4	3			
17	HVLA	25	8	5	4	3			
17	LVHA	7	3	7	4	2			
17	HVLA	8	6	1	4	2			
17	LVLA	27	5	2	4	1			
17	N	26	8	6	5	2			
17	HVHA	1	6	8	4	4			
17	N	23	5	3	4	2			
17	LVHA	18	4	9	4	2			
17	LVLA	13	4	3	3	2			
17	N	24	5	2	2	1			
17	HVLA	20	6	2	4	2			
17	N	6	7	2	4	3			
17	LVLA	4	5	4	4	2			
17	HVHA	5	9	9	4	2			
17	LVHA	17	4	9	3	3	missing EEG data		
17	HVHA	9	7	9	4	2			
17	LVHA	3	4	8	4	2			
17	HVLA	15	6	5	4	3			
18	LVHA	18	7	8	4	2			
18	LVLA	13	6	2	4	3			
18	HVHA	30	9	8	4	3			
18	HVLA	15	4	2	3	1			
18	LVLA	4	5	1	4	2			
18	HVLA	20	7	1	3	3			
18	N	26	7	7	5	4			
18	LVHA	3	1	5	3	3			
18	N	6	7	4	3	2			
18	HVHA	1	9	8	3	5			
18	HVLA	25	8	3	4	3			
18	HVLA	8	7	1	3	4			
18	LVLA	2	2	4	1	1			
18	HVHA	5	9	8	4	2			
18	LVLA	27	4	2	3	2			
18	LVHA	7	5	4	3	2			
18	HVHA	9	9	8	3	2			
18	LVHA	17	3	9	4	4			
18	N	24	6	2	3	2			
18	N	23	6	1	3	3			
19	N	24	6	2	3	2			
19	HVLA	8	3	6	2	2			
19	HVLA	20	7	2	5	2			
19	LVHA	7	6	5	3	2			
19	HVHA	1	9	6	5	5			
19	LVHA	18	2	7	2	4			
19	LVLA	27	2	8	2	2			
19	LVLA	4	3	6	3	2			
19	HVHA	30	8	7	4	3			
19	N	6	6	2	4	2			
19	LVHA	3	2	7	1	1			
19	N	26	8	4	3	1			
19	LVHA	17	3	8	2	2			
19	HVLA	25	7	3	4	2			
19	HVHA	9	9	7	4	2			
19	LVLA	13	4	4	4	2			
19	HVHA	5	9	8	5	2			
19	HVLA	15	7	2	4	2			
19	LVLA	2	5	4	4	2			
19	N	23	6	2	5	2			
20	LVLA	2	5	5	3	1			
20	LVLA	13	7	6	4	2			
20	N	26	8	7	5	4			
20	N	23	6	4	3	3			
20	LVHA	18	8	7	4	3			
20	HVLA	20	8	2	4	4			
20	HVHA	1	7	7	4	4			
20	HVHA	30	8	8	4	4			
20	LVHA	7	7	7	4	3			
20	HVLA	15	8	7	4	4			
20	LVLA	27	6	5	3	3			
20	HVHA	5	8	7	4	4			
20	N	24	6	5	4	3			
20	HVLA	25	8	2	5	4			
20	LVHA	17	7	8	3	3			
20	LVLA	4	7	1	4	3			
20	LVHA	3	5	5	2	3			
20	HVHA	9	8	6	4	4			
20	N	6	8	1	5	4			
20	HVLA	8	7	2	4	3			
